bash: module: line 1: syntax error: unexpected end of file
bash: error importing function definition for `module'
000001
12
hdfs://babar.local:54310/user/hl1283/rgfout
login-3-33.local
Starting training
perl ./call_exe.pl ./rgf train_test ./long login-3-33.local 1245 12 000001
connecting to login-3-33.local:22222
@VIS: 176.483 93-3 93-6
@VIS: 176.966 93-6 93-7
@VIS: 176.966 93-6 93-8
@VIS: 177.638 root 94-0
@VIS: 177.638 94-0 94-1
@VIS: 177.638 94-0 94-2
@VIS: 178.212 94-1 94-3
@VIS: 178.212 94-1 94-4
@VIS: 178.878 94-3 94-5
@VIS: 178.878 94-3 94-6
@VIS: 179.56 94-5 94-7
@VIS: 179.56 94-5 94-8
@VIS: 180.027 94-7 94-9
@VIS: 180.027 94-7 94-10
@VIS: 180.699 94-9 94-11
@VIS: 180.699 94-9 94-12
@VIS: 181.169 94-11 94-13
@VIS: 181.169 94-11 94-14
@VIS: 181.843 94-14 94-15
@VIS: 181.843 94-14 94-16
@VIS: 182.294 94-15 94-17
@VIS: 182.294 94-15 94-18
@VIS: 182.919 root 95-0
@VIS: 182.919 95-0 95-1
@VIS: 182.919 95-0 95-2
@VIS: 183.667 95-1 95-3
@VIS: 183.667 95-1 95-4
@VIS: 184.222 95-2 95-5
@VIS: 184.222 95-2 95-6
@VIS: 184.648 95-5 95-7
@VIS: 184.648 95-5 95-8
@VIS: 185.061 root 96-0
@VIS: 185.061 96-0 96-1
@VIS: 185.061 96-0 96-2
@VIS: 185.57 96-1 96-3
@VIS: 185.57 96-1 96-4
@VIS: 186.052 root 97-0
@VIS: 186.052 97-0 97-1
@VIS: 186.052 97-0 97-2
@VIS: 186.752 97-1 97-3
@VIS: 186.752 97-1 97-4
@VIS: 187.288 97-3 97-5
@VIS: 187.288 97-3 97-6
@VIS: 187.778 97-5 97-7
@VIS: 187.778 97-5 97-8
@VIS: 188.463 97-7 97-9
@VIS: 188.463 97-7 97-10
@VIS: 188.929 97-9 97-11
@VIS: 188.929 97-9 97-12
@VIS: 189.389 97-11 97-13
@VIS: 189.389 97-11 97-14
@VIS: 189.876 97-13 97-15
@VIS: 189.876 97-13 97-16
@VIS: 190.344 97-15 97-17
@VIS: 190.344 97-15 97-18
@VIS: 190.795 97-17 97-19
@VIS: 190.795 97-17 97-20
@VIS: 191.246 97-19 97-21
@VIS: 191.246 97-19 97-22
@VIS: 192.347 97-21 97-23
@VIS: 192.347 97-21 97-24
@VIS: 193.04 97-23 97-25
@VIS: 193.04 97-23 97-26
@VIS: 193.481 97-25 97-27
@VIS: 193.481 97-25 97-28
@VIS: 193.946 97-27 97-29
